owner,platform,lat,lon,observationDate,depth,DO,qcFlag 
LUMCON,LUML1,29.2533,-90.6633,2017-01-19T21:00:00Z,1.0,7.58,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-19T21:15:00Z,1.0,7.35,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-19T21:30:00Z,1.0,7.51,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-19T21:45:00Z,1.0,7.38,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-19T22:00:00Z,1.0,7.35,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-19T22:15:00Z,1.0,7.47,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-19T22:30:00Z,1.0,7.46,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-19T22:45:00Z,1.0,7.49,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-19T23:00:00Z,1.0,7.5,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-19T23:15:00Z,1.0,7.29,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-19T23:30:00Z,1.0,7.2,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-19T23:45:00Z,1.0,7.07,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-20T00:00:00Z,1.0,7.01,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-20T00:15:00Z,1.0,6.92,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-20T00:30:00Z,1.0,6.71,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-20T00:45:00Z,1.0,6.32,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-20T01:00:00Z,1.0,6.83,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-20T01:15:00Z,1.0,6.23,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-20T01:30:00Z,1.0,6.2,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-20T01:45:00Z,1.0,6.72,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-20T02:00:00Z,1.0,6.57,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-20T02:15:00Z,1.0,6.47,1111122
LUMCON,LUML1,29.2533,-90.6633,2017-01-20T02:30:00Z,1.0,6.53,1111122
